GROUP,CONDITION,ITEM,ITEM_TYPE,SENTENCE_TYPE,STRUCTURE,VALUE
1,A,1,factorial,Matrix question,Extraction,Which contestant did they think's performance was the best?
1,A,9,factorial,Matrix question,Extraction,Which executive did you hear's personal assistant quit after only one day?
1,A,17,factorial,Matrix question,Extraction,Which suspect did you think's alibi was the most questionable?
1,B,2,factorial,Matrix question,Resumption,Which politician did you read her chief of staff tested positive for COVID?
1,B,10,factorial,Matrix question,Resumption,Which celebrity chef did you think his restaurant served an amazing truffle risotto?
1,B,18,factorial,Matrix question,Resumption,Which prime minister did you say his latest decision was applauded by human rights groups?
1,C,3,factorial,Embedded question,Extraction,I forget which hockey player you heard's team got a gold medal at the Olympics.
1,C,11,factorial,Embedded question,Extraction,I forget which librarian you thought's boss refused to pull racist books off shelves.
1,C,19,factorial,Embedded question,Extraction,I forgot which judge you thought's ruling should have been more widely criticized.
1,D,4,factorial,Embedded question,Resumption,I forget which driver you thought his brakes sounded too squeaky.
1,D,12,factorial,Embedded question,Resumption,I forget which painter you read their sketchbooks are on display in the museum of art.
1,D,20,factorial,Embedded question,Resumption,I forget which doctor you heard his treatment helps with back pain.
1,E,5,factorial,Relative clause with who,Extraction,That was the student who they suspected's homework was plagiarized.
1,E,13,factorial,Relative clause with who,Extraction,That was the neighbour who I said's house has been targeted by package thieves.
1,E,21,factorial,Relative clause with who,Extraction,That was the teacher who you thought's students were least prepared for the test.
1,F,6,factorial,Relative clause with who,Resumption,That was the author who I heard their latest book just hit the bestseller list.
1,F,14,factorial,Relative clause with who,Resumption,That was the singer who I read his YouTube channel reached over a million subscribers.
1,F,22,factorial,Relative clause with who,Resumption,That was the comedian who you thought her Netflix special was the funniest.
1,G,7,factorial,Relative clause with that,Extraction,That was the mother that I think's kid peed in the pool.
1,G,15,factorial,Relative clause with that,Extraction,That was the plumber that I heard's team will come out for emergencies at any time of day.
1,G,23,factorial,Relative clause with that,Extraction,That was the applicant that they found out's car broke down on his way to a job interview.
1,H,8,factorial,Relative clause with that,Resumption,That was the student that we found out their cat got smuggled into to school in a backpack.
1,H,16,factorial,Relative clause with that,Resumption,That was the late-night host that I thought his show would never promote conspiracy theories.
1,H,24,factorial,Relative clause with that,Resumption,That was the celebrity that they say her private photos were leaked on the Internet.
2,A,2,factorial,Matrix question,Extraction,Which politician did you read's chief of staff tested positive for COVID?
2,A,10,factorial,Matrix question,Extraction,Which celebrity chef did you think's restaurant served an amazing truffle risotto?
2,A,18,factorial,Matrix question,Extraction,Which prime minister did you say's latest decision was applauded by human rights groups?
2,B,3,factorial,Matrix question,Resumption,Which hockey player did you hear her team got a gold medal at the Olympics?
2,B,11,factorial,Matrix question,Resumption,Which librarian did you think her boss refused to pull racist books off shelves?
2,B,19,factorial,Matrix question,Resumption,Which judge did you think her ruling should have been more widely criticized?
2,C,4,factorial,Embedded question,Extraction,I forget which driver you thought's brakes sounded too squeaky.
2,C,12,factorial,Embedded question,Extraction,I forget which painter you read's sketchbooks are on display in the museum of art.
2,C,20,factorial,Embedded question,Extraction,I forget which doctor you heard's treatment helps with back pain.
2,D,5,factorial,Embedded question,Resumption,I forget which student they suspected his homework was plagiarized.
2,D,13,factorial,Embedded question,Resumption,I forget which neighbour you said her house has been targeted by package thieves.
2,D,21,factorial,Embedded question,Resumption,I forget which teacher you thought their students were least prepared for the test.
2,E,6,factorial,Relative clause with who,Extraction,That was the author who I heard's latest book just hit the bestseller list.
2,E,14,factorial,Relative clause with who,Extraction,That was the singer who I read's YouTube channel reached over a million subscribers.
2,E,22,factorial,Relative clause with who,Extraction,That was the comedian who you thought's Netflix special was the funniest.
2,F,7,factorial,Relative clause with who,Resumption,That was the mother who I think her kid peed in the pool.
2,F,15,factorial,Relative clause with who,Resumption,That was the plumber who I heard her team will come out for emergencies at any time of day.
2,F,23,factorial,Relative clause with who,Resumption,That was the applicant who they found out his car broke down on his way to a job interview.
2,G,8,factorial,Relative clause with that,Extraction,That was the student that we found out's cat got smuggled into to school in a backpack.
2,G,16,factorial,Relative clause with that,Extraction,That was the late-night host that I thought's show would never promote conspiracy theories.
2,G,24,factorial,Relative clause with that,Extraction,That was the celebrity that they say's private photos were leaked on the Internet.
2,H,1,factorial,Relative clause with that,Resumption,That was the contestant that I think his performance was the best.
2,H,9,factorial,Relative clause with that,Resumption,That was the executive that we heard their personal assistant quit after only one day.
2,H,17,factorial,Relative clause with that,Resumption,That was the suspect that I thought their alibi was the most questionable.
3,A,3,factorial,Matrix question,Extraction,Which hockey player did you hear's team got a gold medal at the Olympics?
3,A,11,factorial,Matrix question,Extraction,Which librarian did you think's boss refused to pull racist books off shelves?
3,A,19,factorial,Matrix question,Extraction,Which judge did you think's ruling should have been more widely criticized?
3,B,4,factorial,Matrix question,Resumption,Which driver did you think his brakes sounded too squeaky?
3,B,12,factorial,Matrix question,Resumption,Which painter did you read their sketchbooks are on display in the museum of art?
3,B,20,factorial,Matrix question,Resumption,Which doctor did you hear his treatment helps with back pain?
3,C,5,factorial,Embedded question,Extraction,I forget which student they suspected's homework was plagiarized.
3,C,13,factorial,Embedded question,Extraction,I forget which neighbour you said's house has been targeted by package thieves.
3,C,21,factorial,Embedded question,Extraction,I forget which teacher you thought's students were least prepared for the test.
3,D,6,factorial,Embedded question,Resumption,I forget which author you heard their latest book just hit the bestseller list.
3,D,14,factorial,Embedded question,Resumption,I forget which singer you read his YouTube channel reached over a million subscribers.
3,D,22,factorial,Embedded question,Resumption,I forget which comedian you thought her Netflix special was the funniest.
3,E,7,factorial,Relative clause with who,Extraction,That was the mother who I think's kid peed in the pool.
3,E,15,factorial,Relative clause with who,Extraction,That was the plumber who I heard's team will come out for emergencies at any time of day.
3,E,23,factorial,Relative clause with who,Extraction,That was the applicant who they found out's car broke down on his way to a job interview.
3,F,8,factorial,Relative clause with who,Resumption,That was the student who we found out their cat got smuggled into to school in a backpack.
3,F,16,factorial,Relative clause with who,Resumption,That was the late-night host who I thought his show would never promote conspiracy theories.
3,F,24,factorial,Relative clause with who,Resumption,That was the celebrity who they say her private photos were leaked on the Internet.
3,G,1,factorial,Relative clause with that,Extraction,That was the contestant that I think's performance was the best.
3,G,9,factorial,Relative clause with that,Extraction,That was the executive that we heard's personal assistant quit after only one day.
3,G,17,factorial,Relative clause with that,Extraction,That was the suspect that I thought's alibi was the most questionable.
3,H,2,factorial,Relative clause with that,Resumption,That was the politician that I read her chief of staff tested positive for COVID.
3,H,10,factorial,Relative clause with that,Resumption,That was the celebrity chef that we thought his restaurant served an amazing truffle risotto.
3,H,18,factorial,Relative clause with that,Resumption,That was the prime minister that you said his latest decision was applauded by human rights groups.
4,A,4,factorial,Matrix question,Extraction,Which driver did you think's brakes sounded too squeaky?
4,A,12,factorial,Matrix question,Extraction,Which painter did you read's sketchbooks are on display in the museum of art?
